,hora,tipo_carretera,distrito,tipo_accidente,estado_meteorológico,tipo_vehiculo,tipo_persona,rango_edad,sexo,lesividad,drogas_alcohol_positivo,vehiculos_implicados,coordenada_x_utm,coordenada_y_utm
27269,2,19,6.0,2,1.0,5.0,1.0,3,1,Slight,2,3,440075132,4476701302
27270,2,19,6.0,2,1.0,5.0,2.0,3,2,Slight,2,3,440075132,4476701302
28473,1,19,6.0,2,2.0,4.0,1.0,3,1,Slight,2,2,440076772,4476701004
28474,1,19,6.0,2,2.0,5.0,1.0,3,1,Slight,2,2,440076772,4476701004
38331,2,19,6.0,2,1.0,4.0,1.0,3,1,Serious,2,2,440077742,4476701824
38332,2,19,6.0,2,1.0,5.0,1.0,3,1,Slight,2,2,440077742,4476701824
25085,2,19,6.0,6,3.0,5.0,1.0,3,1,Slight,2,2,439930407,4476718862
25086,2,19,6.0,6,3.0,5.0,3.0,4,2,Slight,2,2,439930407,4476718862
41248,1,19,6.0,6,2.0,5.0,1.0,4,1,Slight,2,3,439936372,4476711145
41249,1,19,6.0,6,2.0,5.0,2.0,4,2,Slight,2,3,439936372,4476711145
41250,1,19,6.0,6,2.0,5.0,3.0,3,2,Serious,2,3,439936372,4476711145
15358,2,12,9.0,3,1.0,3.0,1.0,3,1,Serious,2,1,439107094,4476732096
26909,2,17,6.0,1,1.0,3.0,1.0,4,1,Serious,2,1,440268844,4476746785
46212,2,17,6.0,1,1.0,5.0,1.0,2,1,Slight,2,1,439569160,4476772300
51789,1,12,6.0,2,1.0,4.0,1.0,3,1,Serious,2,2,439569160,4476772300
51790,1,12,6.0,2,1.0,5.0,1.0,3,2,Slight,2,2,439569160,4476772300
48881,2,19,7.0,6,1.0,5.0,1.0,3,1,Slight,2,3,442375750,4476791810
48882,2,19,7.0,6,1.0,5.0,2.0,1,2,Slight,2,3,442375750,4476791810
48883,2,19,7.0,6,1.0,5.0,3.0,2,1,Serious,2,3,442375750,4476791810
45300,1,3,6.0,3,1.0,9.0,1.0,3,1,Slight,2,2,441314910,4476815550
45301,1,3,6.0,3,1.0,3.0,1.0,3,2,Slight,2,2,441314910,4476815550
49559,1,3,6.0,4,1.0,4.0,1.0,3,1,Slight,2,2,441314910,4476815550
49560,1,3,6.0,4,1.0,5.0,1.0,3,2,Slight,2,2,441314910,4476815550
52352,1,3,6.0,3,1.0,3.0,1.0,3,1,Serious,2,1,441314910,4476815550
25430,2,19,20.0,2,1.0,9.0,1.0,2,1,Slight,2,4,446722929,4476841106
25431,2,19,20.0,2,1.0,5.0,1.0,3,2,Slight,2,4,446722929,4476841106
25432,2,19,20.0,2,1.0,5.0,2.0,3,1,Slight,2,4,446722929,4476841106
33899,2,19,20.0,8,1.0,2.0,1.0,2,2,Serious,2,4,446721959,4476838496
33900,2,19,20.0,8,1.0,2.0,2.0,2,1,Slight,2,4,446721959,4476838496
33901,2,19,20.0,8,1.0,5.0,1.0,3,1,Slight,1,4,446721959,4476838496
33902,2,19,20.0,8,1.0,5.0,1.0,3,1,Serious,2,4,446721959,4476838496
16285,1,17,4.0,4,1.0,3.0,1.0,2,1,Serious,2,2,443227985,4476849494
16286,1,17,4.0,4,1.0,5.0,1.0,3,2,Slight,2,2,443227985,4476849494
39819,1,12,9.0,3,1.0,3.0,1.0,3,1,Serious,2,1,438388988,4476867725
38124,1,9,4.0,1,1.0,5.0,1.0,3,2,Serious,2,1,443448390,4476917197
11161,2,3,6.0,6,1.0,4.0,1.0,3,1,Slight,1,2,441332769,4476919247
11162,2,3,6.0,6,1.0,4.0,3.0,3,1,Serious,2,2,441332769,4476919247
33409,1,3,6.0,2,1.0,1.0,1.0,3,1,Slight,2,1,441334483,4476918860
