,Easting,Northing,1st Road Class,Accident Time,Number of Vehicles,Road Surface,Speed Limit,Lighting Conditions,Weather Conditions,dia_semana,semana_en_año,Type of Vehicle,Age of Vehicle,First Point of Impact,Casualty Class,Sex of Casualty,Age of Casualty,Casualty Severity,longitude,latitude
34828,343850,383079,6,1,2,2,30,1,1,5,15,9,4,1,1,2,3,Slight,-2.844799,53.341631
23063,343430,383140,6,1,2,1,30,1,1,3,5,9,7,4,1,1,3,Slight,-2.851141,53.342108
23477,343430,383150,6,1,1,1,30,1,1,2,30,2,8,2,3,1,3,Assistance,-2.851143,53.342198
23063,343430,383140,6,1,2,1,30,1,1,3,5,9,7,4,1,1,3,Slight,-2.851141,53.342108
23477,343430,383150,6,1,1,1,30,1,1,2,30,2,8,2,3,1,3,Assistance,-2.851143,53.342198
9834,345240,383190,6,2,1,2,30,1,5,5,25,2,2,5,3,2,1,Assistance,-2.823967,53.342748
37012,341665,383215,6,1,2,1,20,1,1,5,40,5,13,2,1,1,3,Assistance,-2.877637,53.342616
37013,341665,383215,6,1,2,1,20,1,1,5,40,5,4,2,1,1,3,Assistance,-2.877637,53.342616
32618,344020,383244,6,1,1,1,20,1,1,3,43,2,10,2,3,2,1,Assistance,-2.842299,53.343106
33387,344470,383277,6,1,2,1,20,1,1,3,17,7,2,4,1,1,3,Assistance,-2.835523,53.343476
33388,344470,383277,6,1,2,1,20,1,1,3,17,7,3,2,1,1,3,Assistance,-2.835523,53.343476
34214,342311,383328,6,1,4,2,40,1,1,2,46,9,7,2,1,1,3,Slight,-2.867957,53.343703
34215,342311,383328,6,1,4,2,40,1,1,2,46,9,1,2,1,1,3,Slight,-2.867957,53.343703
34216,342311,383328,6,1,4,2,40,1,1,2,46,9,4,2,1,1,3,Slight,-2.867957,53.343703
34217,342311,383328,6,1,4,2,40,1,1,2,46,9,0,5,1,1,3,Slight,-2.867957,53.343703
34218,342311,383328,6,1,4,2,40,1,1,2,46,9,7,2,2,1,3,Slight,-2.867957,53.343703
34219,342311,383328,6,1,4,2,40,1,1,2,46,9,1,2,2,1,3,Slight,-2.867957,53.343703
34220,342311,383328,6,1,4,2,40,1,1,2,46,9,4,2,2,1,3,Slight,-2.867957,53.343703
34221,342311,383328,6,1,4,2,40,1,1,2,46,9,0,5,2,1,3,Slight,-2.867957,53.343703
34222,342311,383328,6,1,4,2,40,1,1,2,46,9,7,2,1,2,3,Assistance,-2.867957,53.343703
34223,342311,383328,6,1,4,2,40,1,1,2,46,9,1,2,1,2,3,Assistance,-2.867957,53.343703
34224,342311,383328,6,1,4,2,40,1,1,2,46,9,4,2,1,2,3,Assistance,-2.867957,53.343703
34225,342311,383328,6,1,4,2,40,1,1,2,46,9,0,5,1,2,3,Assistance,-2.867957,53.343703
3143,342910,383340,6,1,2,1,40,1,8,4,51,9,5,2,2,2,2,Slight,-2.858987,53.34385
3144,342910,383340,6,1,2,1,40,1,8,4,51,9,4,1,2,2,2,Slight,-2.858987,53.34385
3145,342910,383340,6,1,2,1,40,1,8,4,51,9,5,2,1,1,2,Slight,-2.858987,53.34385
3146,342910,383340,6,1,2,1,40,1,8,4,51,9,4,1,1,1,2,Slight,-2.858987,53.34385
23492,342910,383340,6,1,2,1,30,1,1,5,30,3,12,2,1,1,3,Assistance,-2.858987,53.34385
26051,342911,383343,6,1,2,1,30,3,1,4,51,9,5,5,1,2,3,Slight,-2.858973,53.343877
31504,342319,383362,6,2,2,2,40,3,1,4,12,9,1,2,1,2,3,Assistance,-2.867867,53.343984
33997,344168,383490,6,1,1,2,20,1,1,4,40,2,0,2,3,1,3,Assistance,-2.840096,53.345358
15206,344350,383510,6,1,1,2,30,3,2,1,45,2,5,4,3,2,1,Slight,-2.83739,53.345531
25408,344350,383510,6,1,1,1,30,3,1,3,3,2,1,4,3,1,1,Assistance,-2.83739,53.345532
26057,344352,383510,6,2,2,1,30,3,1,1,52,3,8,5,1,1,1,Slight,-2.83736,53.345532
36334,344351,383501,6,1,2,1,30,1,1,7,13,9,10,2,1,1,3,Slight,-2.83735,53.345477
9766,342350,383530,6,1,1,2,30,1,8,7,21,9,6,5,1,1,2,Slight,-2.867432,53.345497
20468,342350,383530,6,1,2,1,30,1,1,5,17,3,8,5,1,1,2,Assistance,-2.867432,53.345497
9766,342350,383530,6,1,1,2,30,1,8,7,21,9,6,5,1,1,2,Slight,-2.867432,53.345497
20468,342350,383530,6,1,2,1,30,1,1,5,17,3,8,5,1,1,2,Assistance,-2.867432,53.345497
37234,343800,383593,3,1,3,1,40,1,1,6,47,19,0,1,1,1,1,Assistance,-2.845642,53.346245
37235,343800,383593,3,1,3,1,40,1,1,6,47,19,7,2,1,1,1,Assistance,-2.845642,53.346245
13122,344730,383610,3,1,5,2,50,1,2,3,44,9,0,3,1,1,3,Assistance,-2.8317,53.34647
13123,344730,383610,3,1,5,2,50,1,2,3,44,9,4,2,1,1,3,Assistance,-2.8317,53.34647
13124,344730,383610,3,1,5,2,50,1,2,3,44,9,4,4,1,1,3,Assistance,-2.8317,53.34647
13125,344730,383610,3,1,5,2,50,1,2,3,44,9,1,1,1,1,3,Assistance,-2.8317,53.34647
13126,344730,383610,3,1,5,2,50,1,2,3,44,9,0,3,1,1,3,Slight,-2.8317,53.34647
13127,344730,383610,3,1,5,2,50,1,2,3,44,9,4,2,1,1,3,Slight,-2.8317,53.34647
13128,344730,383610,3,1,5,2,50,1,2,3,44,9,4,4,1,1,3,Slight,-2.8317,53.34647
13129,344730,383610,3,1,5,2,50,1,2,3,44,9,1,1,1,1,3,Slight,-2.8317,53.34647
13130,344730,383610,3,1,5,2,50,1,2,3,44,9,0,3,1,1,2,Assistance,-2.8317,53.34647
13131,344730,383610,3,1,5,2,50,1,2,3,44,9,4,2,1,1,2,Assistance,-2.8317,53.34647
13132,344730,383610,3,1,5,2,50,1,2,3,44,9,4,4,1,1,2,Assistance,-2.8317,53.34647
13133,344730,383610,3,1,5,2,50,1,2,3,44,9,1,1,1,1,2,Assistance,-2.8317,53.34647
18523,344410,383640,3,1,2,1,50,1,1,7,42,3,9,5,1,1,3,Assistance,-2.836511,53.346706
26462,340891,383658,6,1,2,2,30,1,2,1,50,9,0,2,2,2,4,Assistance,-2.889369,53.346486
26463,340891,383658,6,1,2,2,30,1,2,1,50,9,0,2,1,1,3,Assistance,-2.889369,53.346486
26464,340891,383658,6,1,2,2,30,1,2,1,50,11,0,2,1,1,3,Assistance,-2.889369,53.346486
26465,340891,383658,6,1,2,2,30,1,2,1,50,11,0,2,2,2,3,Slight,-2.889369,53.346486
26466,340891,383658,6,1,2,2,30,1,2,1,50,11,0,2,2,2,2,Slight,-2.889369,53.346486
20249,343480,383700,6,1,1,1,20,1,4,1,6,2,3,2,3,2,1,Assistance,-2.85049,53.347147
2640,343170,383750,6,2,3,1,30,1,1,3,32,9,1,5,1,1,3,Assistance,-2.855155,53.347563
2641,343170,383750,6,2,3,1,30,1,1,3,32,9,2,5,1,1,3,Assistance,-2.855155,53.347563
31224,343174,383753,6,1,2,1,30,1,1,5,6,5,1,2,1,1,2,Slight,-2.855096,53.347591
31225,343174,383753,6,1,2,1,30,1,1,5,6,5,1,5,1,1,2,Slight,-2.855096,53.347591
36884,340993,383804,6,2,2,1,30,1,1,4,21,3,14,5,1,2,3,Assistance,-2.887839,53.347835
37209,340993,383796,6,1,2,2,30,1,1,1,47,7,20,5,1,1,3,Slight,-2.887838,53.347764
37210,340993,383796,6,1,2,2,30,1,1,1,47,7,1,5,1,1,3,Slight,-2.887838,53.347764
18561,342770,383830,6,1,1,1,20,1,1,5,43,2,0,5,3,1,1,Assistance,-2.861178,53.348239
18561,342770,383830,6,1,1,1,20,1,1,5,43,2,0,5,3,1,1,Assistance,-2.861178,53.348239
6525,343490,383840,3,2,2,1,40,1,1,3,15,9,6,5,1,1,3,Slight,-2.850365,53.348406
6526,343490,383840,3,2,2,1,40,1,1,3,15,9,5,3,1,1,3,Slight,-2.850365,53.348406
23582,343500,383840,3,1,3,2,50,1,2,3,35,7,14,2,1,1,3,Assistance,-2.850215,53.348407
23583,343500,383840,3,1,3,2,50,1,2,3,35,7,7,3,1,1,3,Assistance,-2.850215,53.348407
6237,343240,383870,3,1,1,1,70,1,1,4,4,2,1,2,3,2,4,Assistance,-2.854126,53.348649
2679,343190,383880,3,2,2,1,40,3,1,1,36,9,2,2,1,1,3,Slight,-2.854878,53.348733
2680,343190,383880,3,2,2,1,40,3,1,1,36,9,7,1,1,1,3,Slight,-2.854878,53.348733
18183,343190,383880,3,1,2,2,40,1,2,7,23,9,11,2,2,2,2,Slight,-2.854878,53.348733
18184,343190,383880,3,1,2,2,40,1,2,7,23,9,11,4,2,2,2,Slight,-2.854878,53.348733
25999,343190,383880,3,1,1,1,40,3,1,5,47,2,7,1,3,2,3,Assistance,-2.854879,53.348734
35431,343189,383888,3,1,3,1,40,1,1,2,38,9,1,5,1,1,3,Slight,-2.854871,53.348831
35432,343189,383888,3,1,3,1,40,1,1,2,38,9,1,5,2,2,3,Slight,-2.854871,53.348831
2679,343190,383880,3,2,2,1,40,3,1,1,36,9,2,2,1,1,3,Slight,-2.854878,53.348733
2680,343190,383880,3,2,2,1,40,3,1,1,36,9,7,1,1,1,3,Slight,-2.854878,53.348733
18183,343190,383880,3,1,2,2,40,1,2,7,23,9,11,2,2,2,2,Slight,-2.854878,53.348733
18184,343190,383880,3,1,2,2,40,1,2,7,23,9,11,4,2,2,2,Slight,-2.854878,53.348733
25999,343190,383880,3,1,1,1,40,3,1,5,47,2,7,1,3,2,3,Assistance,-2.854879,53.348734
6550,341490,383910,3,1,2,1,40,1,1,5,19,9,16,3,1,1,3,Slight,-2.880418,53.348817
