,Easting,Northing,1st Road Class,Number of Vehicles,Road Surface,Speed Limit,Lighting Conditions,Weather Conditions,dia_semana,semana_en_año,Type of Vehicle,Age of Vehicle,First Point of Impact,Casualty Class,Sex of Casualty,Age of Casualty,Casualty Severity,longitude,latitude,Accident Time Sin,Accident Time Cos
11023,1511078,1340908,1,2,0,50,0,0,1,11,2,2019,6,0,1,3,Assistance,lon,lat,-0.5807029557109393,-0.8141155183563195
11024,1511078,1340908,1,2,0,50,0,0,1,11,2,2019,6,1,1,4,Slight,lon,lat,-0.5807029557109393,-0.8141155183563195
22034,1508663,1341215,1,2,0,50,0,0,5,46,2,2007,9,0,1,3,Assistance,lon,lat,-0.8457278217039733,-0.5336145159156114
22035,1508663,1341215,1,2,0,50,0,0,5,46,2,2007,9,1,1,3,Slight,lon,lat,-0.8457278217039733,-0.5336145159156114
22036,1508663,1341215,1,2,0,50,0,0,5,46,2,2007,9,1,1,1,Slight,lon,lat,-0.8457278217039733,-0.5336145159156114
4378,1510278,1341285,8,3,0,50,0,0,3,46,8,2011,6,0,0,3,Slight,lon,lat,0.23344536385590553,-0.9723699203976766
4379,1510278,1341285,8,3,0,50,0,0,3,46,2,1999,6,0,1,3,Assistance,lon,lat,0.23344536385590553,-0.9723699203976766
16358,1508779,1341470,6,2,0,60,0,0,3,23,0,2015,6,2,1,3,Assistance,lon,lat,0.2923717047227366,-0.9563047559630355
2955,1510758,1341663,3,2,0,60,0,1,1,32,2,2004,7,1,1,1,Slight,lon,lat,0.13052619222005157,-0.9914448613738104
2956,1510758,1341663,3,2,0,60,0,1,1,32,2,2004,7,1,1,1,Assistance,lon,lat,0.13052619222005157,-0.9914448613738104
21883,1508080,1341789,3,2,0,60,0,1,4,44,1,2002,5,2,0,3,Assistance,lon,lat,-0.5664062369248326,-0.8241261886220158
11451,1508161,1341821,1,2,1,50,1,1,2,18,1,XXXX,9,2,0,3,Assistance,lon,lat,-0.8338858220671683,0.551936985312058
21849,1510956,1342059,3,1,0,60,0,0,2,44,5,2006,1,0,0,4,Assistance,lon,lat,0.3255681544571566,-0.9455185755993168
5361,1512927,1342115,6,2,0,80,0,0,5,4,5,2010,6,0,0,2,Slight,lon,lat,-0.9896513868196702,-0.1434926219911794
5362,1512927,1342115,6,2,0,80,0,0,5,4,5,2010,6,1,1,2,Slight,lon,lat,-0.9896513868196702,-0.1434926219911794
5363,1512927,1342115,6,2,0,80,0,0,5,4,6,2016,6,0,0,3,Slight,lon,lat,-0.9896513868196702,-0.1434926219911794
8488,1512927,1342115,6,2,0,100,0,0,2,36,2,2003,6,0,0,3,Assistance,lon,lat,-0.5372996083468239,-0.8433914458128856
13739,1512927,1342115,6,2,0,80,1,0,6,47,5,2018,1,0,0,2,Slight,lon,lat,-0.13052619222005168,0.9914448613738104
13740,1512927,1342115,6,2,0,80,1,0,6,47,5,2018,1,1,0,2,Slight,lon,lat,-0.13052619222005168,0.9914448613738104
13817,1505472,1343810,1,2,0,110,0,0,6,48,5,2008,4,0,0,1,Assistance,lon,lat,-0.10886687485196476,-0.9940563382223196
13818,1505472,1343810,1,2,0,110,0,0,6,48,5,2008,4,1,0,1,Assistance,lon,lat,-0.10886687485196476,-0.9940563382223196
13819,1505472,1343810,1,2,0,110,0,0,6,48,5,2008,4,1,1,3,Assistance,lon,lat,-0.10886687485196476,-0.9940563382223196
13820,1505472,1343810,1,2,0,110,0,0,6,48,5,2008,4,1,1,1,Assistance,lon,lat,-0.10886687485196476,-0.9940563382223196
13821,1505472,1343810,1,2,0,110,0,0,6,48,5,2010,4,0,1,4,Assistance,lon,lat,-0.10886687485196476,-0.9940563382223196
13822,1505472,1343810,1,2,0,110,0,0,6,48,5,2010,4,1,1,3,Assistance,lon,lat,-0.10886687485196476,-0.9940563382223196
13823,1505472,1343810,1,2,0,110,0,0,6,48,5,2010,4,1,0,4,Assistance,lon,lat,-0.10886687485196476,-0.9940563382223196
19256,1506728,1345469,13,1,0,100,0,0,4,7,2,2009,1,0,1,4,Assistance,lon,lat,0.3826834323650899,-0.9238795325112867
19257,1506728,1345469,13,1,0,100,0,0,4,7,2,2009,1,1,1,4,Slight,lon,lat,0.3826834323650899,-0.9238795325112867
2953,1500689,1348057,1,2,0,110,0,1,1,32,6,1996,9,0,0,2,Assistance,lon,lat,0.8241261886220156,-0.566406236924833
2953,1500689,1348057,1,2,0,110,0,1,1,32,6,1996,9,0,0,2,Assistance,lon,lat,0.8241261886220156,-0.566406236924833
19804,1497916,1348659,1,3,0,110,1,0,6,14,5,2010,2,0,1,3,Assistance,lon,lat,0.958819734868193,0.28401534470392276
4036,1494798,1350203,1,2,0,110,0,0,5,42,2,1994,4,0,0,3,Assistance,lon,lat,-0.8433914458128855,-0.5372996083468242
11749,1499912,1350623,1,2,0,100,0,1,7,22,2,2018,9,0,1,2,Assistance,lon,lat,-0.8191520442889916,-0.5735764363510464
2851,1492264,1351299,1,3,0,110,0,1,7,30,2,2018,9,0,1,3,Assistance,lon,lat,-0.8968727415326883,-0.44228869021900136
2852,1492264,1351299,1,3,0,110,0,1,7,30,2,2018,9,1,1,4,Assistance,lon,lat,-0.8968727415326883,-0.44228869021900136
7082,1491371,1351593,1,2,0,110,1,1,7,20,2,2007,9,0,1,3,Assistance,lon,lat,-0.7518398074789778,0.6593458151000684
729,1511641,1351649,1,1,0,110,1,0,1,9,2,1997,1,0,0,2,Assistance,lon,lat,0.9914448613738104,-0.1305261922200516
20616,1511641,1351650,1,2,0,110,0,0,2,26,2,2003,9,0,1,3,Slight,lon,lat,-0.9099612708765431,-0.41469324265623925
4233,1486502,1353001,8,3,0,110,0,0,6,44,1,2014,9,2,0,3,Assistance,lon,lat,-0.2419218955996675,-0.9702957262759965
14385,1480466,1353328,1,2,1,100,1,0,3,2,1,XXXX,6,2,0,3,Assistance,lon,lat,0.4617486132350339,0.8870108331782217
3748,1497240,1353684,1,3,0,100,1,1,6,39,6,2018,9,0,0,3,Assistance,lon,lat,-0.32143946530316186,0.9469301294951056
7176,1490007,1357697,1,2,0,100,0,0,1,22,2,1971,9,0,0,3,Assistance,lon,lat,-0.3624380382837015,-0.9320078692827986
12503,1495927,1358558,8,2,0,100,1,0,1,33,2,2006,9,0,0,3,Assistance,lon,lat,-0.9063077870366503,0.42261826174069883
6979,1482244,1359518,1,1,0,110,0,1,6,19,1,2009,1,2,0,2,Assistance,lon,lat,0.6691306063588583,-0.743144825477394
18592,1464637,1360671,1,1,1,40,0,0,6,49,1,2008,1,2,0,3,Assistance,lon,lat,-0.3048642990280105,-0.9523957996432785
18249,1512542,1361610,1,2,0,80,1,1,7,45,2,2003,9,0,0,3,Assistance,lon,lat,0.6225146366376195,0.7826081568524139
18315,1476660,1363925,1,2,0,110,0,0,4,46,2,2000,9,0,1,4,Assistance,lon,lat,-0.8314696123025452,-0.5555702330196022
20504,1501088,1365167,1,1,0,100,1,1,5,24,6,2014,1,0,0,2,Assistance,lon,lat,0.9659258262890683,-0.25881904510252085
20009,1458314,1366171,10,1,1,100,0,0,6,17,1,2011,1,2,0,3,Assistance,lon,lat,0.258819045102521,-0.9659258262890682
20676,1474936,1366285,1,2,0,60,0,0,1,27,6,2004,7,0,0,3,Assistance,lon,lat,0.8191520442889917,-0.5735764363510462
20517,1456366,1368086,1,1,1,40,0,0,6,24,1,2020,1,2,0,3,Assistance,lon,lat,-0.19080899537654472,-0.981627183447664
1825,1473200,1368251,8,3,0,50,0,0,7,19,2,2004,9,0,0,3,Assistance,lon,lat,0.9320078692827986,-0.3624380382837014
10502,1492273,1369539,1,1,1,100,0,0,6,5,1,XXXX,1,2,0,3,Assistance,lon,lat,-0.8115739819650121,-0.5842496656374347
7560,1477357,1370145,8,3,0,110,1,0,6,25,1,2007,6,2,0,2,Assistance,lon,lat,-0.9978589232386035,0.06540312923014326
7561,1477357,1370145,8,3,0,110,1,0,6,25,2,2015,6,0,0,1,Slight,lon,lat,-0.9978589232386035,0.06540312923014326
8358,1478717,1371293,1,2,0,110,0,0,6,34,2,1988,9,0,0,3,Assistance,lon,lat,-0.7933533402912349,-0.6087614290087209
3749,1514892,1371418,1,1,0,50,1,0,6,39,1,1996,1,2,0,3,Assistance,lon,lat,-0.5482932295199143,0.8362861558477592
781,1515222,1371910,1,2,0,50,0,0,4,9,1,XXXX,9,2,0,3,Assistance,lon,lat,0.8191520442889917,-0.5735764363510462
14571,1453815,1372229,10,1,1,100,0,0,2,4,1,2006,1,2,0,1,Assistance,lon,lat,-0.2588190451025208,-0.9659258262890683
7764,1488857,1373582,1,2,0,100,1,1,3,28,6,2004,2,0,0,3,Assistance,lon,lat,-0.9988483864849507,-0.04797812852134381
257,1515462,1376153,1,2,0,110,0,0,2,4,1,2006,5,2,0,4,Assistance,lon,lat,0.7071067811865476,-0.7071067811865475
4546,1489943,1377021,1,2,0,110,0,0,7,47,2,2014,9,0,1,2,Assistance,lon,lat,0.5372996083468241,-0.8433914458128855
