,Easting,Northing,1st Road Class,Accident Time,Number of Vehicles,Road Surface,Speed Limit,Lighting Conditions,Weather Conditions,dia_semana,semana_en_año,Type of Vehicle,Age of Vehicle,First Point of Impact,Casualty Class,Sex of Casualty,Age of Casualty,Casualty Severity,longitude,latitude
32313,380652,385981,1,2,4,2,70,3,1,3,45,9,10,2,1,1,3,Slight,-2.29225,53.37035
32314,380652,385981,1,2,4,2,70,3,1,3,45,9,15,3,1,1,3,Slight,-2.29225,53.37035
32315,380652,385981,1,2,4,2,70,3,1,3,45,9,1,1,1,1,3,Slight,-2.29225,53.37035
32316,380652,385981,1,2,4,2,70,3,1,3,45,9,1,3,1,1,3,Slight,-2.29225,53.37035
32317,380652,385981,1,2,4,2,70,3,1,3,45,9,10,2,1,1,2,Slight,-2.29225,53.37035
32318,380652,385981,1,2,4,2,70,3,1,3,45,9,15,3,1,1,2,Slight,-2.29225,53.37035
32319,380652,385981,1,2,4,2,70,3,1,3,45,9,1,1,1,1,2,Slight,-2.29225,53.37035
32320,380652,385981,1,2,4,2,70,3,1,3,45,9,1,3,1,1,2,Slight,-2.29225,53.37035
34046,380660,385979,1,1,4,1,70,1,1,1,34,15,5,2,2,2,3,Assistance,-2.292129,53.370332
34047,380660,385979,1,1,4,1,70,1,1,1,34,15,3,1,2,2,3,Assistance,-2.292129,53.370332
34048,380660,385979,1,1,4,1,70,1,1,1,34,15,5,2,1,1,3,Slight,-2.292129,53.370332
34049,380660,385979,1,1,4,1,70,1,1,1,34,15,3,1,1,1,3,Slight,-2.292129,53.370332
34050,380660,385979,1,1,4,1,70,1,1,1,34,9,5,2,1,2,3,Slight,-2.292129,53.370332
34051,380660,385979,1,1,4,1,70,1,1,1,34,9,3,1,1,2,3,Slight,-2.292129,53.370332
3751,380660,385980,1,1,2,1,70,1,1,5,28,13,4,2,1,1,3,Slight,-2.292142,53.370314
3752,380660,385980,1,1,2,1,70,1,1,5,28,13,0,3,1,1,3,Slight,-2.292142,53.370314
34046,380660,385979,1,1,4,1,70,1,1,1,34,15,5,2,2,2,3,Assistance,-2.292129,53.370332
34047,380660,385979,1,1,4,1,70,1,1,1,34,15,3,1,2,2,3,Assistance,-2.292129,53.370332
34048,380660,385979,1,1,4,1,70,1,1,1,34,15,5,2,1,1,3,Slight,-2.292129,53.370332
34049,380660,385979,1,1,4,1,70,1,1,1,34,15,3,1,1,1,3,Slight,-2.292129,53.370332
34050,380660,385979,1,1,4,1,70,1,1,1,34,9,5,2,1,2,3,Slight,-2.292129,53.370332
34051,380660,385979,1,1,4,1,70,1,1,1,34,9,3,1,1,2,3,Slight,-2.292129,53.370332
7198,381810,386000,6,2,3,2,30,3,4,4,43,9,13,5,1,1,3,Slight,-2.27486,53.370535
7199,381810,386000,6,2,3,2,30,3,4,4,43,9,1,5,1,1,3,Slight,-2.27486,53.370535
7200,381810,386000,6,2,3,2,30,3,4,4,43,9,2,1,1,1,3,Slight,-2.27486,53.370535
25468,381820,385990,5,1,2,2,40,1,2,4,17,9,10,2,1,2,3,Slight,-2.274709,53.370446
25558,381820,385990,5,2,2,1,40,1,1,4,24,3,1,2,1,1,3,Assistance,-2.274709,53.370446
31575,381815,385994,5,1,2,2,40,1,1,1,8,9,6,4,1,1,3,Slight,-2.274772,53.370508
31576,381815,385994,5,1,2,2,40,1,1,1,8,9,2,5,1,1,3,Slight,-2.274772,53.370508
31577,381815,385994,5,1,2,2,40,1,1,1,8,9,6,4,1,2,4,Slight,-2.274772,53.370508
31578,381815,385994,5,1,2,2,40,1,1,1,8,9,2,5,1,2,4,Slight,-2.274772,53.370508
31893,381815,385994,5,1,2,1,40,1,1,1,29,9,6,2,2,2,1,Slight,-2.274772,53.370508
31894,381815,385994,5,1,2,1,40,1,1,1,29,9,3,2,2,2,1,Slight,-2.274772,53.370508
7455,380700,386070,1,1,2,2,70,1,4,6,45,9,5,2,2,2,2,Assistance,-2.291547,53.371125
7456,380700,386070,1,1,2,2,70,1,4,6,45,9,5,2,1,1,3,Slight,-2.291547,53.371125
7455,380700,386070,1,1,2,2,70,1,4,6,45,9,5,2,2,2,2,Assistance,-2.291547,53.371125
7456,380700,386070,1,1,2,2,70,1,4,6,45,9,5,2,1,1,3,Slight,-2.291547,53.371125
28084,380700,386077,1,1,2,1,70,1,1,5,14,9,10,2,1,2,3,Slight,-2.291548,53.371188
7289,383000,386090,5,2,2,2,30,3,1,6,48,2,0,5,3,1,1,Assistance,-2.256979,53.371384
7290,383000,386090,5,2,2,2,30,3,1,6,48,2,0,4,3,1,1,Assistance,-2.256979,53.371384
27964,383864,386131,5,1,1,2,30,1,2,1,46,2,9,5,3,1,1,Assistance,-2.243996,53.37178
7127,382930,386250,5,1,1,2,30,1,1,1,40,2,6,2,3,1,4,Assistance,-2.25804,53.37282
7127,382930,386250,5,1,1,2,30,1,1,1,40,2,6,2,3,1,4,Assistance,-2.25804,53.37282
25798,382360,386330,5,1,2,1,20,1,1,2,32,5,7,1,1,1,2,Assistance,-2.266613,53.37352
25798,382360,386330,5,1,2,1,20,1,1,2,32,5,7,1,1,1,2,Assistance,-2.266613,53.37352
32085,381963,386422,5,1,2,1,30,3,2,1,44,5,2,2,1,1,3,Assistance,-2.272572,53.37436
32086,381963,386422,5,1,2,1,30,3,2,1,44,5,5,2,1,1,3,Assistance,-2.272572,53.37436
33971,382110,386434,5,2,3,1,30,3,1,7,35,8,13,2,1,1,3,Assistance,-2.270363,53.374473
33972,382110,386434,5,2,3,1,30,3,1,7,35,8,1,4,1,1,3,Assistance,-2.270363,53.374473
6758,383270,386510,5,1,2,2,30,1,1,1,13,14,5,2,1,1,3,Slight,-2.252944,53.375168
7356,383270,386510,5,1,1,1,30,1,1,5,51,2,3,3,3,1,1,Slight,-2.252944,53.375168
28005,383269,386509,5,1,2,2,30,4,1,4,49,9,15,2,1,1,2,Slight,-2.252959,53.375159
28006,383269,386509,5,1,2,2,30,4,1,4,49,7,15,2,1,1,3,Assistance,-2.252959,53.375159
28009,383270,386509,5,1,2,2,30,1,1,4,50,9,3,2,1,2,3,Slight,-2.252944,53.375159
28010,383270,386509,5,1,2,2,30,1,1,4,50,9,8,5,1,2,3,Slight,-2.252944,53.375159
26237,381060,386580,1,1,2,1,70,1,1,7,24,9,6,2,1,2,4,Assistance,-2.286167,53.375722
26238,381060,386580,1,1,2,1,70,1,1,7,24,9,6,1,1,2,4,Assistance,-2.286167,53.375722
34068,381056,386588,1,1,3,2,70,3,2,3,48,9,9,3,1,1,3,Assistance,-2.286215,53.37582
34069,381056,386588,1,1,3,2,70,3,2,3,48,9,3,5,1,1,3,Assistance,-2.286215,53.37582
34070,381056,386588,1,1,3,2,70,3,2,3,48,9,9,3,1,1,3,Slight,-2.286215,53.37582
34071,381056,386588,1,1,3,2,70,3,2,3,48,9,3,5,1,1,3,Slight,-2.286215,53.37582
34072,381056,386588,1,1,3,2,70,3,2,3,48,9,9,3,2,2,3,Assistance,-2.286215,53.37582
34073,381056,386588,1,1,3,2,70,3,2,3,48,9,3,5,2,2,3,Assistance,-2.286215,53.37582
2663,382960,386630,6,1,2,1,30,1,1,1,21,9,1,2,1,1,4,Slight,-2.25761,53.376236
6694,382960,386630,5,1,2,2,30,1,2,7,6,9,7,2,1,2,3,Slight,-2.25761,53.376236
6695,382960,386630,5,1,2,2,30,1,2,7,6,9,1,4,1,2,3,Slight,-2.25761,53.376236
6696,382960,386630,5,1,2,2,30,1,2,7,6,9,7,2,2,1,1,Slight,-2.25761,53.376236
6697,382960,386630,5,1,2,2,30,1,2,7,6,9,1,4,2,1,1,Slight,-2.25761,53.376236
7304,382970,386630,5,1,2,2,30,1,5,4,49,9,6,2,1,2,2,Assistance,-2.25746,53.376237
7305,382970,386630,5,1,2,2,30,1,5,4,49,9,9,2,1,2,2,Assistance,-2.25746,53.376237
7306,382970,386630,5,1,2,2,30,1,5,4,49,13,6,2,1,1,3,Slight,-2.25746,53.376237
7307,382970,386630,5,1,2,2,30,1,5,4,49,13,9,2,1,1,3,Slight,-2.25746,53.376237
10399,382970,386630,5,2,2,2,30,3,2,7,19,9,2,2,2,2,3,Slight,-2.25746,53.376237
10400,382970,386630,5,2,2,2,30,3,2,7,19,9,5,2,2,2,3,Slight,-2.25746,53.376237
10401,382970,386630,5,2,2,2,30,3,2,7,19,9,2,2,1,2,3,Slight,-2.25746,53.376237
10402,382970,386630,5,2,2,2,30,3,2,7,19,9,5,2,1,2,3,Slight,-2.25746,53.376237
10403,382970,386630,5,2,2,2,30,3,2,7,19,9,2,2,2,2,4,Assistance,-2.25746,53.376237
10404,382970,386630,5,2,2,2,30,3,2,7,19,9,5,2,2,2,4,Assistance,-2.25746,53.376237
13320,382970,386630,5,1,2,2,30,1,2,2,40,9,5,2,1,2,3,Slight,-2.25746,53.376237
13321,382970,386630,5,1,2,2,30,1,2,2,40,9,7,2,1,2,3,Slight,-2.25746,53.376237
13322,382970,386630,5,1,2,2,30,1,2,2,40,9,5,2,1,1,3,Slight,-2.25746,53.376237
13323,382970,386630,5,1,2,2,30,1,2,2,40,9,7,2,1,1,3,Slight,-2.25746,53.376237
13324,382970,386630,5,1,2,2,30,1,2,2,40,9,5,2,2,1,3,Slight,-2.25746,53.376237
13325,382970,386630,5,1,2,2,30,1,2,2,40,9,7,2,2,1,3,Slight,-2.25746,53.376237
13403,382970,386630,5,1,2,2,30,4,1,4,42,9,10,2,1,1,3,Slight,-2.25746,53.376237
13404,382970,386630,5,1,2,2,30,4,1,4,42,9,14,4,1,1,3,Slight,-2.25746,53.376237
13558,382970,386630,5,1,2,2,30,1,2,4,2,9,13,2,1,1,2,Slight,-2.25746,53.376237
16765,382970,386630,5,1,2,2,30,1,2,2,19,9,14,2,1,2,3,Slight,-2.25746,53.376237
16766,382970,386630,5,1,2,2,30,1,2,2,19,9,3,2,1,2,3,Slight,-2.25746,53.376237
16767,382970,386630,5,1,2,2,30,1,2,2,19,9,14,2,1,1,3,Slight,-2.25746,53.376237
16768,382970,386630,5,1,2,2,30,1,2,2,19,9,3,2,1,1,3,Slight,-2.25746,53.376237
7304,382970,386630,5,1,2,2,30,1,5,4,49,9,6,2,1,2,2,Assistance,-2.25746,53.376237
7305,382970,386630,5,1,2,2,30,1,5,4,49,9,9,2,1,2,2,Assistance,-2.25746,53.376237
7306,382970,386630,5,1,2,2,30,1,5,4,49,13,6,2,1,1,3,Slight,-2.25746,53.376237
7307,382970,386630,5,1,2,2,30,1,5,4,49,13,9,2,1,1,3,Slight,-2.25746,53.376237
10399,382970,386630,5,2,2,2,30,3,2,7,19,9,2,2,2,2,3,Slight,-2.25746,53.376237
10400,382970,386630,5,2,2,2,30,3,2,7,19,9,5,2,2,2,3,Slight,-2.25746,53.376237
10401,382970,386630,5,2,2,2,30,3,2,7,19,9,2,2,1,2,3,Slight,-2.25746,53.376237
10402,382970,386630,5,2,2,2,30,3,2,7,19,9,5,2,1,2,3,Slight,-2.25746,53.376237
