,Easting,Northing,1st Road Class,Number of Vehicles,Road Surface,Speed Limit,Lighting Conditions,Weather Conditions,dia_semana,semana_en_año,Type of Vehicle,Age of Vehicle,First Point of Impact,Casualty Class,Sex of Casualty,Age of Casualty,Casualty Severity,longitude,latitude,Accident Time Sin,Accident Time Cos
23063,343430,383140,6,2,1,30,1,1,3,5,9,7,4,1,1,3,Slight,-2.851141,53.342108,0.9153114791194471,-0.40274668985873735
23477,343430,383150,6,1,1,30,1,1,2,30,2,8,2,3,1,3,Assistance,-2.851143,53.342198,-0.13052619222005177,-0.9914448613738104
23063,343430,383140,6,2,1,30,1,1,3,5,9,7,4,1,1,3,Slight,-2.851141,53.342108,0.9153114791194471,-0.40274668985873735
23477,343430,383150,6,1,1,30,1,1,2,30,2,8,2,3,1,3,Assistance,-2.851143,53.342198,-0.13052619222005177,-0.9914448613738104
23477,343430,383150,6,1,1,30,1,1,2,30,2,8,2,3,1,3,Assistance,-2.851143,53.342198,-0.13052619222005177,-0.9914448613738104
23477,343430,383150,6,1,1,30,1,1,2,30,2,8,2,3,1,3,Assistance,-2.851143,53.342198,-0.13052619222005177,-0.9914448613738104
9834,345240,383190,6,1,2,30,1,5,5,25,2,2,5,3,2,1,Assistance,-2.823967,53.342748,-0.9238795325112866,0.38268343236509
9834,345240,383190,6,1,2,30,1,5,5,25,2,2,5,3,2,1,Assistance,-2.823967,53.342748,-0.9238795325112866,0.38268343236509
2650,345030,383220,6,2,1,30,3,1,5,34,9,4,4,1,2,2,Slight,-2.827126,53.342996,-0.7518398074789778,0.6593458151000684
9487,345030,383220,6,1,1,30,1,1,7,10,2,4,2,3,1,1,Slight,-2.827126,53.342996,-0.9799247046208296,-0.1993679344171973
25629,345035,383229,6,2,1,30,1,1,6,22,19,16,4,1,1,3,Assistance,-2.827053,53.343078,-0.5807029557109393,-0.8141155183563195
3143,342910,383340,6,2,1,40,1,8,4,51,9,5,2,2,2,2,Slight,-2.858987,53.34385,-0.4422886902190011,-0.8968727415326884
3144,342910,383340,6,2,1,40,1,8,4,51,9,4,1,2,2,2,Slight,-2.858987,53.34385,-0.4422886902190011,-0.8968727415326884
3145,342910,383340,6,2,1,40,1,8,4,51,9,5,2,1,1,2,Slight,-2.858987,53.34385,-0.4422886902190011,-0.8968727415326884
3146,342910,383340,6,2,1,40,1,8,4,51,9,4,1,1,1,2,Slight,-2.858987,53.34385,-0.4422886902190011,-0.8968727415326884
23492,342910,383340,6,2,1,30,1,1,5,30,3,12,2,1,1,3,Assistance,-2.858987,53.34385,0.9659258262890683,-0.25881904510252085
3143,342910,383340,6,2,1,40,1,8,4,51,9,5,2,2,2,2,Slight,-2.858987,53.34385,-0.4422886902190011,-0.8968727415326884
3144,342910,383340,6,2,1,40,1,8,4,51,9,4,1,2,2,2,Slight,-2.858987,53.34385,-0.4422886902190011,-0.8968727415326884
3145,342910,383340,6,2,1,40,1,8,4,51,9,5,2,1,1,2,Slight,-2.858987,53.34385,-0.4422886902190011,-0.8968727415326884
3146,342910,383340,6,2,1,40,1,8,4,51,9,4,1,1,1,2,Slight,-2.858987,53.34385,-0.4422886902190011,-0.8968727415326884
23492,342910,383340,6,2,1,30,1,1,5,30,3,12,2,1,1,3,Assistance,-2.858987,53.34385,0.9659258262890683,-0.25881904510252085
15206,344350,383510,6,1,2,30,3,2,1,45,2,5,4,3,2,1,Slight,-2.83739,53.345531,-0.9990482215818578,-0.04361938736533613
25408,344350,383510,6,1,1,30,3,1,3,3,2,1,4,3,1,1,Assistance,-2.83739,53.345532,-0.913545457642601,-0.4067366430758001
15206,344350,383510,6,1,2,30,3,2,1,45,2,5,4,3,2,1,Slight,-2.83739,53.345531,-0.9990482215818578,-0.04361938736533613
25408,344350,383510,6,1,1,30,3,1,3,3,2,1,4,3,1,1,Assistance,-2.83739,53.345532,-0.913545457642601,-0.4067366430758001
9766,342350,383530,6,1,2,30,1,8,7,21,9,6,5,1,1,2,Slight,-2.867432,53.345497,0.659345815100069,-0.7518398074789773
20468,342350,383530,6,2,1,30,1,1,5,17,3,8,5,1,1,2,Assistance,-2.867432,53.345497,-0.984807753012208,-0.17364817766693033
9766,342350,383530,6,1,2,30,1,8,7,21,9,6,5,1,1,2,Slight,-2.867432,53.345497,0.659345815100069,-0.7518398074789773
20468,342350,383530,6,2,1,30,1,1,5,17,3,8,5,1,1,2,Assistance,-2.867432,53.345497,-0.984807753012208,-0.17364817766693033
13122,344730,383610,3,5,2,50,1,2,3,44,9,0,3,1,1,3,Assistance,-2.8317,53.34647,-0.6052939880428942,-0.7960020025346222
13123,344730,383610,3,5,2,50,1,2,3,44,9,4,2,1,1,3,Assistance,-2.8317,53.34647,-0.6052939880428942,-0.7960020025346222
13124,344730,383610,3,5,2,50,1,2,3,44,9,4,4,1,1,3,Assistance,-2.8317,53.34647,-0.6052939880428942,-0.7960020025346222
13125,344730,383610,3,5,2,50,1,2,3,44,9,1,1,1,1,3,Assistance,-2.8317,53.34647,-0.6052939880428942,-0.7960020025346222
13126,344730,383610,3,5,2,50,1,2,3,44,9,0,3,1,1,3,Slight,-2.8317,53.34647,-0.6052939880428942,-0.7960020025346222
13127,344730,383610,3,5,2,50,1,2,3,44,9,4,2,1,1,3,Slight,-2.8317,53.34647,-0.6052939880428942,-0.7960020025346222
