,Easting,Northing,1st Road Class,Accident Time,Number of Vehicles,Road Surface,Speed Limit,Lighting Conditions,Weather Conditions,dia_semana,semana_en_año,Type of Vehicle,Age of Vehicle,First Point of Impact,Casualty Class,Sex of Casualty,Age of Casualty,Casualty Severity,longitude,latitude
34006,434894,380679,6,1,2,1,30,1,1,3,41,8,17,2,2,2,4,Assistance,-1.47762,53.32191
5341,434780,380700,5,2,1,1,30,3,1,7,21,9,14,4,2,1,1,Assistance,-1.479326,53.322075
5342,434780,380700,5,2,1,1,30,3,1,7,21,9,14,4,2,1,3,Assistance,-1.479326,53.322075
5343,434780,380700,5,2,1,1,30,3,1,7,21,9,14,4,1,1,2,Assistance,-1.479326,53.322075
34790,435116,380714,6,1,1,1,30,1,1,1,13,9,17,5,1,1,3,Assistance,-1.474284,53.32221
34791,435116,380714,6,1,1,1,30,1,1,1,13,2,17,5,3,1,3,Assistance,-1.474284,53.32221
8783,428280,380760,3,2,1,1,30,2,1,4,31,7,1,2,1,1,3,Assistance,-1.5769,53.323
8784,428280,380760,3,2,1,1,30,2,1,4,31,7,1,2,2,2,3,Assistance,-1.5769,53.323
8783,428280,380760,3,2,1,1,30,2,1,4,31,7,1,2,1,1,3,Assistance,-1.5769,53.323
8784,428280,380760,3,2,1,1,30,2,1,4,31,7,1,2,2,2,3,Assistance,-1.5769,53.323
10787,432620,380810,6,1,1,1,30,1,1,2,26,2,4,2,3,2,4,Assistance,-1.511741,53.3232
12596,435630,380830,5,1,2,1,30,1,1,5,10,4,2,5,1,1,1,Slight,-1.466551,53.323187
25781,435632,380836,6,2,1,2,30,3,2,4,45,2,8,2,3,2,3,Assistance,-1.466521,53.323241
24160,442747,380847,3,2,1,2,30,3,5,7,6,9,10,3,1,1,2,Assistance,-1.359708,53.322814
24161,442747,380847,3,2,1,2,30,3,5,7,6,9,10,3,2,1,2,Assistance,-1.359708,53.322814
31904,428321,380889,3,1,1,2,60,1,2,1,37,9,3,2,1,1,2,Assistance,-1.576274,53.324188
35322,443651,380901,4,1,1,1,30,1,1,2,30,2,5,5,3,2,1,Assistance,-1.346137,53.323258
6366,434130,380960,4,1,4,2,40,1,1,4,49,9,2,3,1,2,3,Slight,-1.489056,53.324454
6367,434130,380960,4,1,4,2,40,1,1,4,49,9,7,3,1,2,3,Slight,-1.489056,53.324454
6368,434130,380960,4,1,4,2,40,1,1,4,49,9,5,2,1,2,3,Slight,-1.489056,53.324454
6369,434130,380960,4,1,4,2,40,1,1,4,49,9,2,3,2,2,3,Assistance,-1.489056,53.324454
6370,434130,380960,4,1,4,2,40,1,1,4,49,9,7,3,2,2,3,Assistance,-1.489056,53.324454
6371,434130,380960,4,1,4,2,40,1,1,4,49,9,5,2,2,2,3,Assistance,-1.489056,53.324454
32647,436079,380972,6,2,4,1,30,3,1,6,2,9,31,2,1,1,3,Assistance,-1.459798,53.324464
32648,436079,380972,6,2,4,1,30,3,1,6,2,9,13,2,1,1,3,Assistance,-1.459798,53.324464
32649,436079,380972,6,2,4,1,30,3,1,6,2,9,13,3,1,1,3,Assistance,-1.459798,53.324464
32449,434207,380985,4,2,1,2,40,3,5,2,52,9,7,2,1,2,2,Slight,-1.4879,53.324705
32450,434207,380985,4,2,1,2,40,3,5,2,52,9,7,2,2,1,2,Slight,-1.4879,53.324705
32451,434207,380985,4,2,1,2,40,3,5,2,52,9,7,2,2,1,2,Assistance,-1.4879,53.324705
32452,434207,380985,4,2,1,2,40,3,5,2,52,9,7,2,2,2,2,Assistance,-1.4879,53.324705
13595,442610,381020,3,1,1,1,30,1,1,6,29,2,5,2,3,2,1,Assistance,-1.361741,53.32438
13595,442610,381020,3,1,1,1,30,1,1,6,29,2,5,2,3,2,1,Assistance,-1.361741,53.32438
18640,434640,381040,4,1,2,1,30,1,1,3,31,9,8,2,1,1,4,Assistance,-1.48139,53.32514
18641,434640,381040,4,1,2,1,30,1,1,3,31,9,10,2,1,1,4,Assistance,-1.48139,53.32514
18642,434640,381040,4,1,2,1,30,1,1,3,31,9,8,2,1,1,1,Slight,-1.48139,53.32514
18643,434640,381040,4,1,2,1,30,1,1,3,31,9,10,2,1,1,1,Slight,-1.48139,53.32514
18640,434640,381040,4,1,2,1,30,1,1,3,31,9,8,2,1,1,4,Assistance,-1.48139,53.32514
18641,434640,381040,4,1,2,1,30,1,1,3,31,9,10,2,1,1,4,Assistance,-1.48139,53.32514
18642,434640,381040,4,1,2,1,30,1,1,3,31,9,8,2,1,1,1,Slight,-1.48139,53.32514
18643,434640,381040,4,1,2,1,30,1,1,3,31,9,10,2,1,1,1,Slight,-1.48139,53.32514
5610,442300,381090,6,1,2,1,30,1,1,5,28,2,4,4,3,1,3,Assistance,-1.366385,53.325034
31116,432211,381095,3,2,2,1,30,1,1,4,14,9,12,2,1,2,4,Slight,-1.517855,53.325818
31117,432211,381095,3,2,2,1,30,1,1,4,14,9,14,3,1,2,4,Slight,-1.517855,53.325818
31118,432211,381095,3,2,2,1,30,1,1,4,14,9,12,2,1,2,3,Slight,-1.517855,53.325818
31119,432211,381095,3,2,2,1,30,1,1,4,14,9,14,3,1,2,3,Slight,-1.517855,53.325818
35881,432214,381103,3,2,1,1,30,3,1,6,47,2,11,2,3,1,1,Assistance,-1.517809,53.32589
5655,442550,381120,3,1,2,1,30,1,1,4,30,9,4,2,1,2,3,Slight,-1.362628,53.325284
23634,442560,381119,3,2,2,1,30,3,1,5,46,5,7,2,1,1,3,Assistance,-1.362478,53.325274
23635,442560,381119,3,2,2,1,30,3,1,5,46,5,3,2,1,1,3,Assistance,-1.362478,53.325274
24395,442559,381119,3,1,2,1,30,1,1,5,11,9,8,4,1,1,3,Slight,-1.362494,53.325274
23634,442560,381119,3,2,2,1,30,3,1,5,46,5,7,2,1,1,3,Assistance,-1.362478,53.325274
23635,442560,381119,3,2,2,1,30,3,1,5,46,5,3,2,1,1,3,Assistance,-1.362478,53.325274
14195,432230,381140,3,1,2,1,30,1,1,3,41,3,4,2,1,1,3,Assistance,-1.517562,53.32619
23730,434781,381150,4,1,2,1,30,1,1,6,48,3,1,2,1,1,3,Slight,-1.479262,53.32612
34954,434778,381148,4,2,2,1,30,3,1,5,18,9,1,4,2,2,1,Slight,-1.47931,53.326133
34955,434778,381148,4,2,2,1,30,3,1,5,18,9,16,2,2,2,1,Slight,-1.47931,53.326133
34956,434778,381148,4,2,2,1,30,3,1,5,18,9,1,4,2,2,3,Slight,-1.47931,53.326133
34957,434778,381148,4,2,2,1,30,3,1,5,18,9,16,2,2,2,3,Slight,-1.47931,53.326133
34958,434778,381148,4,2,2,1,30,3,1,5,18,9,1,4,2,1,3,Slight,-1.47931,53.326133
34959,434778,381148,4,2,2,1,30,3,1,5,18,9,16,2,2,1,3,Slight,-1.47931,53.326133
34960,434778,381148,4,2,2,1,30,3,1,5,18,9,1,4,1,1,3,Assistance,-1.47931,53.326133
34961,434778,381148,4,2,2,1,30,3,1,5,18,9,16,2,1,1,3,Assistance,-1.47931,53.326133
1620,435150,381170,3,1,2,1,30,1,1,1,19,9,3,3,2,1,3,Slight,-1.473719,53.326275
1621,435150,381170,3,1,2,1,30,1,1,1,19,9,3,3,1,2,3,Slight,-1.473719,53.326275
1763,435150,381170,3,2,2,1,40,1,1,5,28,7,9,4,1,1,3,Assistance,-1.473719,53.326275
1764,435150,381170,3,2,2,1,40,1,1,5,28,7,3,2,1,1,3,Assistance,-1.473719,53.326275
27431,435144,381178,3,1,2,1,30,1,1,1,35,3,8,2,1,1,3,Slight,-1.473813,53.32636
27887,435150,381176,3,1,2,2,30,3,1,5,45,9,16,5,1,2,3,Slight,-1.473723,53.326342
27888,435150,381176,3,1,2,2,30,3,1,5,45,9,9,4,1,2,3,Slight,-1.473723,53.326342
29675,435156,381173,3,2,2,1,30,1,8,4,36,3,7,2,1,1,3,Slight,-1.473629,53.326302
34508,435155,381176,3,2,2,1,40,3,1,5,2,7,14,2,1,1,3,Slight,-1.473647,53.32636
34509,435155,381176,3,2,2,1,40,3,1,5,2,7,24,3,1,1,3,Slight,-1.473647,53.32636
25523,434976,381218,4,1,2,1,40,1,1,4,41,3,12,2,1,2,3,Assistance,-1.476327,53.326718
32885,434975,381217,4,1,2,1,30,1,1,4,8,9,14,2,1,2,3,Slight,-1.476345,53.32674
33111,434976,381217,4,1,2,1,30,1,1,1,15,9,2,2,1,1,3,Slight,-1.47633,53.32674
33112,434976,381217,4,1,2,1,30,1,1,1,15,9,10,2,1,1,3,Slight,-1.47633,53.32674
33113,434976,381217,4,1,2,1,30,1,1,1,15,9,2,2,2,2,3,Slight,-1.47633,53.32674
33114,434976,381217,4,1,2,1,30,1,1,1,15,9,10,2,2,2,3,Slight,-1.47633,53.32674
33846,434974,381213,4,1,2,1,40,1,1,3,36,5,12,3,1,1,3,Assistance,-1.476361,53.326704
33847,434974,381213,4,1,2,1,40,1,1,3,36,5,4,2,1,1,3,Assistance,-1.476361,53.326704
35170,434976,381218,4,1,2,1,30,1,1,1,27,9,14,2,1,2,3,Slight,-1.47633,53.326749
35171,434976,381218,4,1,2,1,30,1,1,1,27,9,10,2,1,2,3,Slight,-1.47633,53.326749
35172,434976,381218,4,1,2,1,30,1,1,1,27,9,14,2,2,2,1,Slight,-1.47633,53.326749
35173,434976,381218,4,1,2,1,30,1,1,1,27,9,10,2,2,2,1,Slight,-1.47633,53.326749
35174,434976,381218,4,1,2,1,30,1,1,1,27,9,14,2,2,1,1,Slight,-1.47633,53.326749
35175,434976,381218,4,1,2,1,30,1,1,1,27,9,10,2,2,1,1,Slight,-1.47633,53.326749
35231,434975,381217,4,1,2,1,40,1,2,3,28,9,2,2,2,1,3,Assistance,-1.476345,53.32674
35232,434975,381217,4,1,2,1,40,1,2,3,28,9,5,5,2,1,3,Assistance,-1.476345,53.32674
25523,434976,381218,4,1,2,1,40,1,1,4,41,3,12,2,1,2,3,Assistance,-1.476327,53.326718
33111,434976,381217,4,1,2,1,30,1,1,1,15,9,2,2,1,1,3,Slight,-1.47633,53.32674
33112,434976,381217,4,1,2,1,30,1,1,1,15,9,10,2,1,1,3,Slight,-1.47633,53.32674
33113,434976,381217,4,1,2,1,30,1,1,1,15,9,2,2,2,2,3,Slight,-1.47633,53.32674
33114,434976,381217,4,1,2,1,30,1,1,1,15,9,10,2,2,2,3,Slight,-1.47633,53.32674
35170,434976,381218,4,1,2,1,30,1,1,1,27,9,14,2,1,2,3,Slight,-1.47633,53.326749
35171,434976,381218,4,1,2,1,30,1,1,1,27,9,10,2,1,2,3,Slight,-1.47633,53.326749
35172,434976,381218,4,1,2,1,30,1,1,1,27,9,14,2,2,2,1,Slight,-1.47633,53.326749
35173,434976,381218,4,1,2,1,30,1,1,1,27,9,10,2,2,2,1,Slight,-1.47633,53.326749
35174,434976,381218,4,1,2,1,30,1,1,1,27,9,14,2,2,1,1,Slight,-1.47633,53.326749
35175,434976,381218,4,1,2,1,30,1,1,1,27,9,10,2,2,1,1,Slight,-1.47633,53.326749
11568,434970,381230,6,1,2,1,30,1,1,3,42,4,5,2,1,2,3,Assistance,-1.476415,53.326826
11569,434970,381230,6,1,2,1,30,1,1,3,42,4,0,3,1,2,3,Assistance,-1.476415,53.326826
16145,434970,381220,4,2,2,1,30,1,1,2,25,3,1,5,1,1,3,Assistance,-1.476416,53.326736
21517,434970,381230,5,1,2,1,30,1,1,2,44,9,12,3,1,2,2,Slight,-1.476415,53.326826
