,Easting,Northing,1st Road Class,Accident Time,Number of Vehicles,Road Surface,Speed Limit,Lighting Conditions,Weather Conditions,dia_semana,semana_en_año,Type of Vehicle,Age of Vehicle,First Point of Impact,Casualty Class,Sex of Casualty,Age of Casualty,Casualty Severity,longitude,latitude
2494,533900,171320,3,1,1,2,30,1,2,3,2,11,6,1,2,1,1,Assistance,-0.07546,51.425023
7798,533900,171330,3,1,1,1,30,1,1,4,26,2,2,2,3,1,3,Assistance,-0.075457,51.425113
8045,533900,171330,3,2,3,1,30,3,1,4,10,9,13,5,1,1,3,Slight,-0.075457,51.425113
8046,533900,171330,3,2,3,1,30,3,1,4,10,9,10,2,1,1,3,Slight,-0.075457,51.425113
8047,533900,171330,3,2,3,1,30,3,1,4,10,9,9,4,1,1,3,Slight,-0.075457,51.425113
583,533900,171330,3,1,2,1,30,1,1,1,26,9,4,2,1,2,2,Slight,-0.075457,51.425113
584,533900,171330,3,1,2,1,30,1,1,1,26,9,4,2,2,1,2,Slight,-0.075457,51.425113
2494,533900,171320,3,1,1,2,30,1,2,3,2,11,6,1,2,1,1,Assistance,-0.07546,51.425023
7798,533900,171330,3,1,1,1,30,1,1,4,26,2,2,2,3,1,3,Assistance,-0.075457,51.425113
8045,533900,171330,3,2,3,1,30,3,1,4,10,9,13,5,1,1,3,Slight,-0.075457,51.425113
8046,533900,171330,3,2,3,1,30,3,1,4,10,9,10,2,1,1,3,Slight,-0.075457,51.425113
8047,533900,171330,3,2,3,1,30,3,1,4,10,9,9,4,1,1,3,Slight,-0.075457,51.425113
583,533900,171330,3,1,2,1,30,1,1,1,26,9,4,2,1,2,2,Slight,-0.075457,51.425113
584,533900,171330,3,1,2,1,30,1,1,1,26,9,4,2,2,1,2,Slight,-0.075457,51.425113
7798,533900,171330,3,1,1,1,30,1,1,4,26,2,2,2,3,1,3,Assistance,-0.075457,51.425113
8045,533900,171330,3,2,3,1,30,3,1,4,10,9,13,5,1,1,3,Slight,-0.075457,51.425113
8046,533900,171330,3,2,3,1,30,3,1,4,10,9,10,2,1,1,3,Slight,-0.075457,51.425113
8047,533900,171330,3,2,3,1,30,3,1,4,10,9,9,4,1,1,3,Slight,-0.075457,51.425113
583,533900,171330,3,1,2,1,30,1,1,1,26,9,4,2,1,2,2,Slight,-0.075457,51.425113
584,533900,171330,3,1,2,1,30,1,1,1,26,9,4,2,2,1,2,Slight,-0.075457,51.425113
7798,533900,171330,3,1,1,1,30,1,1,4,26,2,2,2,3,1,3,Assistance,-0.075457,51.425113
8045,533900,171330,3,2,3,1,30,3,1,4,10,9,13,5,1,1,3,Slight,-0.075457,51.425113
8046,533900,171330,3,2,3,1,30,3,1,4,10,9,10,2,1,1,3,Slight,-0.075457,51.425113
8047,533900,171330,3,2,3,1,30,3,1,4,10,9,9,4,1,1,3,Slight,-0.075457,51.425113
3024,533570,171430,3,1,2,2,30,1,1,5,8,3,5,4,1,1,3,Slight,-0.080163,51.426089
5108,533570,171430,6,1,2,1,30,1,1,5,39,9,12,3,1,1,3,Slight,-0.080163,51.426089
5109,533570,171430,6,1,2,1,30,1,1,5,39,9,9,2,1,1,3,Slight,-0.080163,51.426089
10572,533570,171430,3,1,2,1,30,1,1,7,21,3,5,4,1,1,3,Slight,-0.080163,51.42609
17049,533570,171430,3,2,1,1,20,2,1,2,38,7,15,2,1,1,3,Assistance,-0.080157,51.426145
17050,533570,171430,3,2,1,1,20,2,1,2,38,2,15,2,3,1,2,Assistance,-0.080157,51.426145
3024,533570,171430,3,1,2,2,30,1,1,5,8,3,5,4,1,1,3,Slight,-0.080163,51.426089
5108,533570,171430,6,1,2,1,30,1,1,5,39,9,12,3,1,1,3,Slight,-0.080163,51.426089
5109,533570,171430,6,1,2,1,30,1,1,5,39,9,9,2,1,1,3,Slight,-0.080163,51.426089
10572,533570,171430,3,1,2,1,30,1,1,7,21,3,5,4,1,1,3,Slight,-0.080163,51.42609
17049,533570,171430,3,2,1,1,20,2,1,2,38,7,15,2,1,1,3,Assistance,-0.080157,51.426145
17050,533570,171430,3,2,1,1,20,2,1,2,38,2,15,2,3,1,2,Assistance,-0.080157,51.426145
3024,533570,171430,3,1,2,2,30,1,1,5,8,3,5,4,1,1,3,Slight,-0.080163,51.426089
5108,533570,171430,6,1,2,1,30,1,1,5,39,9,12,3,1,1,3,Slight,-0.080163,51.426089
5109,533570,171430,6,1,2,1,30,1,1,5,39,9,9,2,1,1,3,Slight,-0.080163,51.426089
10572,533570,171430,3,1,2,1,30,1,1,7,21,3,5,4,1,1,3,Slight,-0.080163,51.42609
17049,533570,171430,3,2,1,1,20,2,1,2,38,7,15,2,1,1,3,Assistance,-0.080157,51.426145
17050,533570,171430,3,2,1,1,20,2,1,2,38,2,15,2,3,1,2,Assistance,-0.080157,51.426145
3024,533570,171430,3,1,2,2,30,1,1,5,8,3,5,4,1,1,3,Slight,-0.080163,51.426089
5108,533570,171430,6,1,2,1,30,1,1,5,39,9,12,3,1,1,3,Slight,-0.080163,51.426089
5109,533570,171430,6,1,2,1,30,1,1,5,39,9,9,2,1,1,3,Slight,-0.080163,51.426089
10572,533570,171430,3,1,2,1,30,1,1,7,21,3,5,4,1,1,3,Slight,-0.080163,51.42609
17049,533570,171430,3,2,1,1,20,2,1,2,38,7,15,2,1,1,3,Assistance,-0.080157,51.426145
17050,533570,171430,3,2,1,1,20,2,1,2,38,2,15,2,3,1,2,Assistance,-0.080157,51.426145
769,534000,171450,3,2,1,1,30,3,1,6,35,7,21,1,1,1,3,Assistance,-0.073974,51.426168
1188,534000,171450,3,2,1,2,30,3,2,4,48,9,1,2,1,2,3,Slight,-0.073974,51.426168
5070,534000,171450,5,1,1,2,30,1,2,3,28,2,12,2,3,2,3,Assistance,-0.073974,51.426168
5071,534000,171450,5,1,1,1,30,1,1,1,27,9,4,2,1,2,3,Slight,-0.073974,51.426168
5705,534000,171460,5,2,1,1,30,1,1,6,30,9,5,2,1,2,2,Slight,-0.07397,51.426257
9081,534000,171460,3,1,2,1,30,1,1,6,32,3,4,5,1,1,3,Slight,-0.07397,51.426257
15551,533990,171470,5,1,2,1,20,1,1,6,35,9,2,3,1,2,2,Slight,-0.074105,51.426405
15552,533990,171470,5,1,2,1,20,1,1,6,35,9,4,2,1,2,2,Slight,-0.074105,51.426405
17906,533994,171450,5,1,2,1,20,1,1,1,25,9,3,3,1,2,2,Slight,-0.074055,51.426225
17907,533994,171450,5,1,2,1,20,1,1,1,25,9,2,2,1,2,2,Slight,-0.074055,51.426225
18315,533995,171452,5,1,2,1,30,1,1,1,39,3,2,2,1,2,3,Slight,-0.07404,51.426242
769,534000,171450,3,2,1,1,30,3,1,6,35,7,21,1,1,1,3,Assistance,-0.073974,51.426168
1188,534000,171450,3,2,1,2,30,3,2,4,48,9,1,2,1,2,3,Slight,-0.073974,51.426168
5070,534000,171450,5,1,1,2,30,1,2,3,28,2,12,2,3,2,3,Assistance,-0.073974,51.426168
5071,534000,171450,5,1,1,1,30,1,1,1,27,9,4,2,1,2,3,Slight,-0.073974,51.426168
5705,534000,171460,5,2,1,1,30,1,1,6,30,9,5,2,1,2,2,Slight,-0.07397,51.426257
9081,534000,171460,3,1,2,1,30,1,1,6,32,3,4,5,1,1,3,Slight,-0.07397,51.426257
7259,533350,171590,3,1,1,1,30,1,1,7,33,9,1,2,1,2,3,Assistance,-0.083265,51.427579
7259,533350,171590,3,1,1,1,30,1,1,7,33,9,1,2,1,2,3,Assistance,-0.083265,51.427579
28,533150,171600,3,2,2,1,30,3,1,4,36,9,9,2,2,2,4,Slight,-0.086136,51.427716
29,533150,171600,3,2,2,1,30,3,1,4,36,9,5,4,2,2,4,Slight,-0.086136,51.427716
1245,533160,171610,3,2,1,1,30,1,1,6,29,9,1,1,2,2,3,Assistance,-0.085989,51.427803
3757,533150,171600,3,2,2,1,30,3,1,1,39,9,7,4,1,1,3,Slight,-0.086136,51.427716
3758,533150,171600,3,2,2,1,30,3,1,1,39,9,6,2,1,1,3,Slight,-0.086136,51.427716
12447,533160,171610,3,1,1,1,30,1,1,2,45,9,4,2,1,1,3,Slight,-0.086009,51.427859
14878,533150,171600,5,1,1,1,30,1,1,4,10,2,15,10,3,1,3,Slight,-0.086131,51.427771
17493,533151,171609,3,2,2,1,20,3,4,6,10,5,17,2,1,1,3,Slight,-0.086113,51.427852
17494,533151,171609,3,2,2,1,20,3,4,6,10,5,7,5,1,1,3,Slight,-0.086113,51.427852
1245,533160,171610,3,2,1,1,30,1,1,6,29,9,1,1,2,2,3,Assistance,-0.085989,51.427803
