,Easting,Northing,1st Road Class,Number of Vehicles,Road Surface,Speed Limit,Lighting Conditions,Weather Conditions,dia_semana,semana_en_año,Type of Vehicle,Age of Vehicle,First Point of Impact,Casualty Class,Sex of Casualty,Age of Casualty,Casualty Severity,longitude,latitude,Accident Time Sin,Accident Time Cos
5204,1334552,1685124,1,3,0,60,0,0,6,3,1,2013,9,2,0,2,Assistance,lon,lat,0.08715574274765864,-0.9961946980917455
10747,1334545,1685116,8,2,0,60,0,0,5,9,1,2015,6,2,0,3,Assistance,lon,lat,-0.9940563382223195,-0.10886687485196507
612,1333277,1685371,6,3,0,80,0,1,7,7,2,2017,6,0,0,3,Slight,lon,lat,-0.7933533402912349,-0.6087614290087209
1205,1333277,1685371,6,2,0,60,0,0,5,13,1,2012,5,2,0,3,Slight,lon,lat,-0.2588190451025208,-0.9659258262890683
2487,1333289,1685362,6,2,0,60,0,0,1,27,2,2005,6,0,1,2,Slight,lon,lat,-0.6427876096865393,-0.766044443118978
2704,1333298,1685374,6,2,0,80,0,0,5,29,2,2011,5,0,1,3,Slight,lon,lat,0.7798844830928818,-0.6259234721840591
2705,1333298,1685374,6,2,0,80,0,0,5,29,2,2011,5,1,0,1,Slight,lon,lat,0.7798844830928818,-0.6259234721840591
4067,1333357,1685310,3,3,0,60,0,0,4,43,2,2005,5,0,1,3,Slight,lon,lat,-0.984807753012208,-0.17364817766693033
5142,1333277,1685371,6,4,0,60,0,0,1,3,5,2014,5,0,1,3,Slight,lon,lat,-0.7660444431189779,-0.6427876096865395
5490,1333298,1685374,6,3,0,80,1,0,1,7,2,1998,5,0,1,3,Slight,lon,lat,0.9930684569549263,-0.11753739745783758
5491,1333298,1685374,6,3,0,80,1,0,1,7,2,2007,5,0,1,3,Slight,lon,lat,0.9930684569549263,-0.11753739745783758
5678,1333298,1685374,6,2,0,80,0,0,5,8,2,2017,5,0,1,3,Slight,lon,lat,0.7518398074789774,-0.6593458151000688
6856,1333314,1685394,3,2,0,80,0,1,4,19,5,2009,5,0,1,3,Slight,lon,lat,0.9320078692827986,-0.3624380382837014
6975,1333277,1685371,6,2,0,80,0,0,5,20,2,2012,5,0,0,3,Slight,lon,lat,-0.6755902076156598,-0.7372773368101244
8234,1333219,1685296,3,2,0,80,0,0,5,34,2,2011,5,0,0,4,Slight,lon,lat,0.36243803828370175,-0.9320078692827984
8350,1333326,1685352,3,2,0,60,0,0,6,35,2,2004,5,0,1,3,Slight,lon,lat,0.9396926207859084,-0.3420201433256687
8907,1333289,1685362,6,2,0,60,0,0,5,41,2,2009,5,0,0,4,Slight,lon,lat,-1.0,-1.8369701987210297e-16
