,hora,tipo_carretera,distrito,tipo_accidente,estado_meteorológico,tipo_vehiculo,tipo_persona,rango_edad,sexo,lesividad,coordenada_x_utm,coordenada_y_utm,drogas_alcohol_positivo,vehiculos_implicados,dia_semana,semana_en_año,Latitude,Longitude
48605,1,17,2.0,5,1.0,5.0,1.0,3,1,Slight,438825.61,4470785.91,2,2,2,19,40.38542098790914,-3.7207313730036087
48606,1,17,2.0,5,1.0,13.0,1.0,3,2,Slight,438825.61,4470785.91,2,2,2,19,40.38542098790914,-3.7207313730036087
51333,2,17,2.0,2,1.0,3.0,1.0,3,1,Fatal,438825.61,4470785.91,2,2,4,25,40.38542098790914,-3.7207313730036087
51334,2,17,2.0,2,1.0,5.0,1.0,3,1,Slight,438825.61,4470785.91,2,2,4,25,40.38542098790914,-3.7207313730036087
4525,1,17,16.0,6,3.0,6.0,1.0,3,1,Slight,440700.483,4470802.108,2,2,3,10,40.38570246378263,-3.698645483565641
4526,1,17,16.0,6,3.0,6.0,3.0,4,1,Serious,440700.483,4470802.108,2,2,3,10,40.38570246378263,-3.698645483565641
45202,2,9,16.0,3,6.0,2.0,1.0,2,1,Slight,441010.5,4470841.97,2,1,7,9,40.386083570368,-3.6949969217193614
49803,1,9,16.0,1,1.0,9.0,1.0,3,1,Slight,441010.5,4470841.97,2,1,7,21,40.386083570368,-3.6949969217193614
52211,1,9,16.0,2,1.0,4.0,1.0,3,1,Serious,441010.5,4470841.97,2,2,3,27,40.386083570368,-3.6949969217193614
52212,1,9,16.0,2,1.0,5.0,1.0,4,1,Slight,441010.5,4470841.97,2,2,3,27,40.386083570368,-3.6949969217193614
54558,1,9,16.0,4,1.0,3.0,1.0,3,1,Slight,441010.5,4470841.97,2,2,6,34,40.386083570368,-3.6949969217193614
54559,1,9,16.0,4,1.0,5.0,1.0,3,1,Slight,441010.5,4470841.97,2,2,6,34,40.386083570368,-3.6949969217193614
1036,2,19,19.0,6,2.0,5.0,1.0,2,1,Slight,445443.303,4470876.811,2,3,6,3,40.38669951648776,-3.642777167954728
1037,2,19,19.0,6,2.0,5.0,2.0,3,1,Slight,445443.303,4470876.811,2,3,6,3,40.38669951648776,-3.642777167954728
1038,2,19,19.0,6,2.0,5.0,3.0,4,2,Serious,445443.303,4470876.811,2,3,6,3,40.38669951648776,-3.642777167954728
10041,1,19,16.0,2,1.0,3.0,1.0,3,1,Serious,439518.154,4470885.543,2,2,5,20,40.38636909511796,-3.712582166442095
10042,1,19,16.0,2,1.0,5.0,1.0,3,1,Slight,439518.154,4470885.543,2,2,5,20,40.38636909511796,-3.712582166442095
38719,2,19,16.0,2,7.0,2.0,1.0,3,1,Slight,439522.032,4470893.005,2,2,6,42,40.38643659807982,-3.71253718854812
38720,2,19,16.0,2,7.0,5.0,1.0,3,2,Slight,439522.032,4470893.005,2,2,6,42,40.38643659807982,-3.71253718854812
25025,1,19,1.0,6,3.0,5.0,1.0,4,1,Slight,436205.291,4470909.216,2,2,3,49,40.38633526083645,-3.751612769157517
25026,1,19,1.0,6,3.0,5.0,3.0,3,2,Slight,436205.291,4470909.216,2,2,3,49,40.38633526083645,-3.751612769157517
27103,2,19,1.0,6,1.0,5.0,1.0,3,1,Slight,436207.901,4470910.26,1,2,3,2,40.38634486548299,-3.7515821258616393
27104,2,19,1.0,6,1.0,5.0,3.0,3,2,Serious,436207.901,4470910.26,2,2,3,2,40.38634486548299,-3.7515821258616393
38600,2,19,1.0,4,1.0,3.0,1.0,3,1,Slight,436199.438,4470913.671,2,2,5,42,40.386374945153946,-3.751682168226107
37728,1,19,1.0,6,1.0,5.0,1.0,3,1,Slight,435421.272,4470957.048,2,2,4,40,40.38670574682569,-3.760853959641573
37729,1,19,1.0,6,1.0,5.0,3.0,4,2,Serious,435421.272,4470957.048,2,2,4,40,40.38670574682569,-3.760853959641573
6667,1,19,16.0,2,1.0,5.0,1.0,2,1,Slight,440505.765,4470969.444,2,1,3,13,40.38719603201262,-3.700955045649645
9554,2,19,16.0,6,1.0,5.0,1.0,3,1,Slight,440518.105,4470978.634,2,3,7,19,40.38727970149775,-3.700810525439562
9555,2,19,16.0,6,1.0,5.0,2.0,3,1,Slight,440518.105,4470978.634,2,3,7,19,40.38727970149775,-3.700810525439562
9556,2,19,16.0,6,1.0,5.0,3.0,3,1,Serious,440518.105,4470978.634,2,3,7,19,40.38727970149775,-3.700810525439562
40331,1,19,16.0,3,1.0,9.0,1.0,3,1,Slight,440506.138,4470967.617,2,2,6,47,40.3871796000789,-3.700950480685081
40332,1,19,16.0,3,1.0,3.0,1.0,3,1,Slight,440506.138,4470967.617,2,2,6,47,40.3871796000789,-3.700950480685081
23495,2,12,2.0,6,1.0,5.0,3.0,4,2,Serious,437183.32,4470980.488,2,1,2,47,40.38705162804062,-3.740097830630173
37341,2,12,2.0,3,1.0,3.0,1.0,3,1,Slight,437181.084,4470992.521,2,1,3,39,40.38715985806144,-3.740125359394544
27242,1,3,2.0,6,1.0,12.0,1.0,3,1,Slight,436928.508,4470999.401,2,2,6,2,40.3872027524539,-3.7431016256121215
27243,1,3,2.0,6,1.0,12.0,3.0,4,1,Serious,436928.508,4470999.401,2,2,6,2,40.3872027524539,-3.7431016256121215
